"country","total_medalhas","ouro","prata","bronze"
"AIN",5,1,3,1
"Afghanistan",2,0,0,2
"Albania",2,0,0,2
"Algeria",20,7,4,9
"Argentina",80,22,27,31
"Armenia",22,2,11,9
"Australasia",12,3,4,5
"Australia",594,180,189,225
"Austria",107,24,37,46
"Azerbaijan",56,9,16,31
"Bahamas",16,8,2,6
"Bahrain",8,4,3,1
"Barbados",1,0,0,1
"Belarus",85,13,30,42
"Belgium",176,49,57,70
"Bermuda",2,1,0,1
"Bohemia",4,0,1,3
"Botswana",4,1,2,1
"Brazil",170,40,49,81
"Bulgaria",231,57,89,85
"Burkina Faso",1,0,0,1
"Burundi",2,1,1,0
"Cabo Verde",1,0,0,1
"Cameroon",6,3,1,2
"Canada",352,79,118,155
"Chile",15,3,8,4
"China",727,303,226,198
"Colombia",38,5,16,17
"Costa Rica",4,1,1,2
"Croatia",48,16,15,17
"Cuba",244,86,70,88
"Cyprus",2,0,2,0
"Czechia",72,22,22,28
"Czechoslovakia",146,49,50,47
"Côte d'Ivoire",5,1,1,3
"Denmark",222,50,84,88
"Djibouti",1,0,0,1
"Dominica",1,1,0,0
"Dominican Rep.",15,4,5,6
"Ecuador",10,4,4,2
"Egypt",39,9,11,19
"Eritrea",1,0,0,1
"Estonia",36,10,9,17
"Ethiopia",62,24,15,23
"Fiji",4,2,1,1
"Finland",310,104,86,120
"France",837,247,283,307
"Gabon",1,0,1,0
"Georgia",47,13,15,19
"Germany",1437,458,473,506
"Ghana",5,0,1,4
"Greece",130,37,46,47
"Grenada",5,1,1,3
"Guatemala",3,1,1,1
"Guyana",1,0,0,1
"Haiti",2,0,1,1
"Hong Kong, China",13,4,3,6
"Hungary",534,188,163,183
"Iceland",4,0,2,2
"Independent Olympic Athletes",5,1,1,3
"India",41,10,10,21
"Indonesia",39,10,14,15
"Iran",88,27,29,32
"Iraq",1,0,0,1
"Ireland",45,15,11,19
"Israel",20,4,6,10
"Italy",669,234,206,229
"Jamaica",94,27,39,28
"Japan",544,189,162,193
"Jordan",4,1,2,1
"Kazakhstan",78,15,24,39
"Kenya",124,39,44,41
"Kosovo",5,3,1,1
"Kuwait",3,0,0,3
"Kyrgyzstan",13,0,5,8
"Latvia",21,4,11,6
"Lebanon",4,0,2,2
"Lithuania",30,6,9,15
"Luxembourg",5,3,2,0
"Malaysia",15,0,8,7
"Mauritius",1,0,0,1
"Mexico",77,13,27,37
"Mixed team",9,3,2,4
"Moldova",10,0,3,7
"Monaco",1,0,0,1
"Mongolia",31,2,12,17
"Montenegro",1,0,1,0
"Morocco",26,8,5,13
"Mozambique",2,1,0,1
"Namibia",5,0,5,0
"Netherlands",363,113,113,137
"Netherlands Antilles",1,0,1,0
"New Zealand",157,63,40,54
"Niger",2,0,1,1
"Nigeria",27,3,11,13
"North Korea",61,16,18,27
"North Macedonia",2,0,1,1
"Norway",170,63,54,53
"Pakistan",11,4,3,4
"Panama",4,1,1,2
"Paraguay",1,0,1,0
"Peru",5,1,3,1
"Philippines",18,3,5,10
"Poland",316,76,95,145
"Portugal",32,6,11,15
"Puerto Rico",12,2,2,8
"Qatar",9,2,2,5
"ROC",71,20,28,23
"Refugee Olympic Team",1,0,0,1
"Republic of Korea",319,109,100,110
"Romania",317,93,101,123
"Russia",431,148,130,153
"Saint Lucia",2,1,1,0
"Samoa",1,0,1,0
"San Marino",3,0,1,2
"Saudi Arabia",4,0,2,2
"Senegal",1,0,1,0
"Serbia",29,9,8,12
"Serbia and Montenegro",9,2,4,3
"Singapore",6,1,2,3
"Slovakia",33,10,14,9
"Slovenia",31,10,10,11
"South Africa",97,28,37,32
"Soviet Union",1010,395,319,296
"Spain",187,53,76,58
"Sri Lanka",2,0,2,0
"Sudan",1,0,1,0
"Suriname",2,1,0,1
"Sweden",515,150,181,184
"Switzerland",220,57,86,77
"Syria",4,1,1,2
"Taiwan",43,9,11,23
"Tajikistan",7,1,1,5
"Tanzania",2,0,2,0
"Thailand",41,11,11,19
"Togo",1,0,0,1
"Tonga",1,0,1,0
"Trinidad and Tobago",19,3,5,11
"Tunisia",18,6,4,8
"Turkey",111,41,29,41
"Turkmenistan",1,0,1,0
"U.S. Virgin Is.",1,0,1,0
"Uganda",13,5,5,3
"Ukraine",151,38,41,72
"Unified Team",112,45,38,29
"United Arab Emirates",2,1,0,1
"United Arab Republic",2,0,1,1
"United Kingdom",992,305,345,342
"United States of America",2781,1110,885,786
"Uruguay",10,2,2,6
"Uzbekistan",49,18,8,23
"Venezuela",19,3,7,9
"Vietnam",5,1,3,1
"West Indies Federation",2,0,0,2
"Yugoslavia",83,26,29,28
"Zambia",3,0,1,2
"Zimbabwe",8,3,4,1
